"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,322144,"Open Water",0,0,255,0,0,1,71643,0.7
"2",12,412,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,92,0
"3",13,62387,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,13875,0.1
"4",14,92427,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,20555,0.2
"5",15,15646,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,3480,0
"6",16,33063,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,7353,0.1
"7",17,241521,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,53713,0.5
"8",22,64543,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,14354,0.1
"9",23,28332,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,6301,0.1
"10",24,6183,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,1375,0
"11",25,833490,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,185364,1.8
"12",31,1005302,"Barren",191,191,191,0.74902,0.74902,0.74902,223574,2.1
"13",32,10367,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,2306,0
"14",63,25200,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,5604,0.1
"15",64,4513,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,1004,0
"16",65,499835,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,111161,1.1
"17",68,25794,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,5736,0.1
"18",100,1084771,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,241247,2.3
"19",101,474072,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,105431,1
"20",102,675098,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,150138,1.4
"21",103,1279928,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,284649,2.7
"22",104,1245212,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,276928,2.6
"23",105,1346981,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,299561,2.9
"24",106,1221521,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,271660,2.6
"25",107,1055299,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,234693,2.2
"26",108,1769204,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,393461,3.8
"27",109,1139320,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,253379,2.4
"28",110,1309201,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,291159,2.8
"29",111,1407696,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,313064,3
"30",112,1605417,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,357036,3.4
"31",113,1797285,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,399707,3.8
"32",114,2396208,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,532904,5.1
"33",115,1848394,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,411073,3.9
"34",116,1867134,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,415241,4
"35",117,1688352,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,375480,3.6
"36",118,2986503,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,664182,6.4
"37",119,1116079,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,248210,2.4
"38",120,876393,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,194905,1.9
"39",121,529242,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,117701,1.1
"40",122,162626,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,36167,0.3
"41",123,142991,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,31800,0.3
"42",124,65150,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,14489,0.1
"43",125,173086,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,38493,0.4
"44",126,1,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,0,0
"45",138,184,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,41,0
"46",201,14806,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,3293,0
"47",202,562654,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,125131,1.2
"48",203,950201,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,211320,2
"49",204,1634537,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,363512,3.5
"50",205,1532399,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,340797,3.3
"51",206,1293111,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,287581,2.8
"52",207,832337,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,185107,1.8
"53",208,1011894,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,225040,2.2
"54",209,661026,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,147009,1.4
"55",210,430922,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,95835,0.9
"56",211,793949,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,176570,1.7
"57",212,594069,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,132118,1.3
"58",213,410398,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,91270,0.9
"59",214,254216,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,56536,0.5
"60",215,190409,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,42346,0.4
"61",216,285805,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,63562,0.6
"62",217,147150,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,32725,0.3
"63",218,178041,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,39595,0.4
"64",219,139176,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,30952,0.3
"65",220,157974,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,35133,0.3
"66",221,126492,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,28131,0.3
"67",222,104895,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,23328,0.2
"68",223,63339,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,14086,0.1
"69",224,52815,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,11746,0.1
"70",225,26427,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,5877,0.1
"71",226,16927,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,3764,0
"72",227,5289,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1176,0
"73",228,2737,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,609,0
"74",229,1031,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,229,0
"75",230,5603,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,1246,0
